ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Streptosporangiaceae	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Streptosporangiales|f__Thermomonosporaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	3356	641	9	1884	404	374	2443	31	48	48	26	684	202	165	31	40
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	5465	5196	57	19552	8183	5066	16315	965	24	30009	90	434	6547	1308	365	125
d__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	381	447	65	780	539	445	3427	6019	44135	14628	304	491	299	431	233	227
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae	18	23	7	21	41	8	30	33	32	15	11	7	7	21	17	5
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Listeriaceae	1	7	0.0	1	13	1	0.0	1	1	0.0	2	0.0	3	0.0	4	0.0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Paenibacillaceae	2	5	0.0	6	4	1	23	0.0	0.0	0.0	2	1	0.0	1	3	1
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Planococcaceae	4	4	16	1	1	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae	21	24	26	53	65	43	30	15	126	67	13	13	28	33	13	18
d__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae	13	13	0.0	31	18	8	0.0	0.0	1	0.0	19	14	7	11	7	5
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	0.0	2	3	0.0	0.0	0.0	114	0.0	0.0	1	6	2	1	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	10	33	2	241	184	62	293	6	13	6	4	5	26	89	20	55
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	583	67	23	287	432	1987	68	28	2030	8386	52	42	321	253	73	30
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	406577	226352	15891	240186	1079414	609569	165	128	1391	1105	70885	115260	450380	268243	117785	108612
d__Bacteria|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	49134	72812	10272	394732	374922	121678	13356	2650	4641	1840	3200	15758	138670	159923	30465	90924
d__Bacteria|p__Bacillota|c__Clostridia|o__Candidatus Borkfalkiales|f__Candidatus Borkfalkiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44	109	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Bianqueaceae	14	15	6	9	23	4	0.0	0.0	1348	19	7	5	9	1	6	4
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Cellulosilyticaceae	87	23	6	8	12	11	0.0	0.0	0.0	0.0	29	0.0	9	76	105	17
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Christensenellaceae	21	15	13	17	127	8	2	700	34	180	97	2	3	53	96	56
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	12364	14000	3602	8370	27656	15045	385833	26074	102229	87301	7363	4444	8421	20430	15139	7768
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Desulfotomaculaceae	0.0	0.0	0.0	0.0	0.0	0.0	17	0.0	1	69	0.0	0.0	1	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae	1531	983	3300	2770	2095	1886	20141	313344	37632	15938	1563	696	1703	4110	6207	1838
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriales Family XIII. Incertae Sedis	64	40	13	84	139	54	2960	51	7338	2039	90	13	33	146	41	61
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Feifaniaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	60657	14421	3216	21431	41807	33919	441500	86210	601131	562400	21101	26023	36193	32589	29107	14732
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	77026	24069	12992	62181	26371	35226	108153	212406	536473	380921	67727	125952	105590	41158	53464	50374
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	4559	4055	3987	3997	4180	3641	49873	3611	7659	6346	9418	4017	3134	7486	10692	8044
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Pumilibacteraceae	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	1	0.0	0.0	1	1	0.0	0.0
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Symbiobacteriaceae	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Yeguiaceae	7	42	200	7	24	6	5	1	2	72	10	1	1	1	25	16
d__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	246	108	10	264	664	167	700	903	781	15823	50	23	105	53	65	32
d__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	3238	4028	452	1362	14087	3524	4522	4024	2109	15714	1018	1202	1134	2790	2745	1027
d__Bacteria|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	1435	4659	6027	651	528	356	33671	577	2100	100	13027	3324	1362	7552	10595	4059
d__Bacteria|p__Bacillota|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	1812	595	259	2140	200	1232	84513	221	46	23627	550	1495	1286	1146	1073	1173
d__Bacteria|p__Bacillota|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	78566	21074	1407	100185	22878	184362	5095664	12155	2	427295	21572	337092	178271	73573	34469	7665
d__Bacteria|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	56227	1635	5479	394	369	508	25972	7068	68586	90	53	389	1730	139	114	56
d__Bacteria|p__Bacillota|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	1	9	16	9	4	7	110	5	30	27	6	0.0	0.0	2	0.0	12
d__Bacteria|p__Bacillota|c__Tissierellia|o__Tissierellales|f__Sporanaerobacteraceae	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacillota|c__Tissierellia|o__Tissierellales|f__Tissierellaceae	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	12811	3798	4881	17525	1319	18526	375803	5388427	2991782	1948656	19695	18002	21857	14579	12932	11420
d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	143	46	29	155	18	277	64	936	1808	6703	469	143	140	86	197	178
