ID	C1-1_FDME210249711-1r	C2-1_FDME210249713-1r	C3-1_FDME210249715-1r	C4-1_FDME210249717-1r	C5-1_FDME210249719-1r	C6-1_FDME210249721-1r	H1-1_FDME210249735-1r	H2-1_FDME210249737-1r	H3-1_FDME210249739-1r	H4-1_FDME210249741-1r	T1-1_FDME210249723-1r	T2-1_FDME210249725-1r	T3-1_FDME210249727-1r	T4-1_FDME210249729-1r	T5-1_FDME210249731-1r	T6-1_FDME210249733-1r
d__Bacteria|p__Candidatus Saccharibacteria|c__Candidatus Saccharimonadia|o__Candidatus Saccharimonadales	0.0	0.0	0.0	0.0	0.0	0.0	157	1	1	1	0.0	0.0	1	1	0.0	0.0
d__Bacteria|p__Chlamydiota|c__Chlamydiia|o__Chlamydiales	34	106	11	5207	17804	8039	49	360	149	186	7572	475	934	570	2714	37571
d__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales	0.0	0.0	0.0	0.0	0.0	0.0	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__Dehalococcoidales	0.0	0.0	1	2	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	37
d__Bacteria|p__Chloroflexota|c__Ktedonobacteria|o__Ktedonobacterales	1	2	7	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales	0.0	0.0	0.0	16	2	0.0	0.0	0.0	0.0	0.0	1	3	0.0	0.0	0.0	0.0
d__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales	0.0	1	17	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales	0.0	0.0	0.0	0.0	0.0	0.0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales	4	6	0.0	29	1	2	0.0	0.0	0.0	0.0	77	4	0.0	0.0	115	47
d__Bacteria|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales	14438	6005	1184	62380	5387	27776	1	1	0.0	1	56495	8775	11993	113003	6489	38977
d__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales	23	15	5	7	4	8	1411	374	0.0	2	18	10	5	28	12	9
d__Bacteria|p__Lentisphaerota|c__Lentisphaeria|o__Victivallales	0.0	0.0	0.0	5	0.0	0.0	0.0	0.0	0.0	0.0	29	1	0.0	1	2	19
d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Acholeplasmatales	4	0.0	0.0	6	55	2	0.0	0.0	0.0	0.0	7	1	5	7	257	2
d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Anaeroplasmatales	1	0.0	0.0	51	20	9	0.0	0.0	0.0	0.0	0.0	0.0	1	8	1	6
d__Bacteria|p__Mycoplasmatota|c__Mollicutes|o__Mycoplasmatales	8	0.0	0.0	21	160	18	0.0	0.0	2	0.0	30	265	4351	1559	60	3
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Myxococcales	6	11	0.0	6	28	4	1	0.0	0.0	0.0	20	13	22	6	6	5
d__Bacteria|p__Myxococcota|c__Myxococcia|o__Polyangiales	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales	0.0	1	8	5	8	0.0	4672	16	2	0.0	1	5	1	4	2	2
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	222	3582	12524	2354	430	349	603	2	1	15	21	16	173	493	593	809
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales	18	20	12	16	11	5	1	0.0	0.0	0.0	14	9	17	10	0.0	1
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales	548	48	20	73	2	37	0.0	0.0	0.0	484	44	7	10	31	12	153
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rickettsiales	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales	16	60	149	20	31	15	105	27	25	14	11	17	2	23	12	18
d__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	125	102	221	208	1643	207	2422	3224	11636	3285	8330	2318	309	700	3601	4837
d__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales	13	17	62	29	35	25	4	3	1	0.0	91	5	21	23	8	6
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Aeromonadales	116	31	201	374	42	394	1	134	0.0	9	395	2560	93	380	269	99
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales	1	0.0	2	1	2	5	0.0	0.0	0.0	0.0	0.0	17	0.0	1	1	0.0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	21	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales	0.0	0.0	2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	76383	195299	10128	163528	743484	35271	311481	91068	23236	18627	298693	141052	280542	105282	37846	31931
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Legionellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales	18	48	194	10	14	16	122	11	15	19	14	19	32	5	8	3
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Nevskiales	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales	68	25	15	31	14	19	0.0	0.0	0.0	0.0	22	7	5	16	20	21
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Orbales	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales	6	269	3	20	26	95	2846	324	18	183	200	49	71	24	12	25
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales	210	362	23	4	24	7	1354	1	9	0.0	2	3	7	56	5	7
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales	31	155	23	56	119	80	2	2	7	7	30	14	24	27	18	17
d__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Xanthomonadales	7	6	14	4	3	5	13	1	0.0	0.0	5	7	5	4	0.0	1
d__Bacteria|p__Pseudomonadota|c__Hydrogenophilia|o__Hydrogenophilales	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales	0.0	0.0	20	0.0	1	11	0.0	0.0	8	1	0.0	0.0	4	0.0	0.0	1
d__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Leptospirales	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales	85249	11647	1616	22881	13856	27064	10	3	0.0	5	27840	11394	6497	56974	34028	50785
d__Bacteria|p__Synergistota|c__Synergistia|o__Synergistales	20	168	10	19	157	5	8	0.0	583	255	4	4	15	20	92	221
d__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales	0.0	0.0	0.0	0.0	0.0	0.0	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Thermodesulfobacteriota|c__Desulfovibrionia|o__Desulfovibrionales	48143	46702	390	76750	406	16208	49395	28004	36323	480	7197	10867	7178	31338	31903	92647
d__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia|o__Desulfuromonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia|o__Geobacterales	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Thermodesulfobacteriota|c__Syntrophorhabdia|o__Syntrophorhabdales	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Thermomicrobiota|c__Thermomicrobia|o__Sphaerobacterales	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Verrucomicrobiales	1	1	34	1	0.0	0.0	2	439511	37520	18	44	11	12	11	27	19
